strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
OFFSHORE REGULAR,1010,SNE HUDSON CANYN,2516,40.08,-73.07,39.28,40.46,72.16,73.51,620,1,,,,
OFFSHORE REGULAR,1020,SNE HUDSON CANYN,2078,39.42,-72.46,39.12,40.31,71.43,73.39,562,7,,,,
OFFSHORE REGULAR,1030,SNE HUDSON CANYN,566,39.25,-72.26,39.09,39.57,71.41,72.45,144,3,,,,
OFFSHORE REGULAR,1040,SNE HUDSON CANYN,188,39.2,-72.16,39.08,39.54,71.39,72.42,50,3,,,,
OFFSHORE REGULAR,1050,SNE BLOCK ISLAND,1475,41.05,-71.2,40.31,41.25,70.45,72.31,392,5,,,,
OFFSHORE REGULAR,1060,SNE BLOCK ISLAND,2554,40.33,-71.21,39.57,40.57,70.33,72.16,69,60,,,,
OFFSHORE REGULAR,1070,SNE BLOCK ISLAND,514,40.11,-70.55,39.55,40.18,70.3,71.43,138,3,,,,
OFFSHORE REGULAR,1080,SNE BLOCK ISLAND,230,40.03,-71.05,39.51,40.05,70.23,71.41,63,3,,,,
OFFSHORE REGULAR,1090,SNE NANTUCKET,1522,40.48,-69.46,40.33,41.15,69.11,70.5,409,5,,,,
OFFSHORE REGULAR,1100,SNE NANTUCKET,2722,40.23,-69.3,40,41,68.48,70.44,722,8,,,,
OFFSHORE REGULAR,1110,SNE NANTUCKET,622,40.02,-69.48,39.56,40.15,68.47,70.32,166,3,,,,
OFFSHORE REGULAR,1120,SNE NANTUCKET,176,40.02,-69.11,39.54,40.14,68.47,70.28,47,3,,,,
OFFSHORE REGULAR,1130,GEO SW PART,2374,40.44,-67.46,40.15,41.12,66.49,68.55,636,9,,,,
OFFSHORE REGULAR,1140,GEO SW PART,656,40.26,-68.01,40.08,40.48,66.47,68.48,175,4,,,,
OFFSHORE REGULAR,1150,GEO SW PART,230,40.18,-68.02,40.06,40.46,66.45,68.47,61,3,,,,
OFFSHORE REGULAR,1160,GEO EASTERN PART,2980,41.3,-66.3,40.48,42.1,65.54,67.2,737,10,,,,
OFFSHORE REGULAR,1170,GEO EASTERN PART,360,41.28,-66.02,40.47,42.1,65.44,66.49,96,4,,,,
OFFSHORE REGULAR,1180,GEO EASTERN PART,172,41.22,-66.02,40.45,42.1,65.4,66.47,55,3,,,,
OFFSHORE REGULAR,1190,GEO LITTLE GEORG,2454,41.27,-67.36,40.39,42.1,66.57,68.4,542,9,,,,
OFFSHORE REGULAR,1200,GEO CULTIVATOR,1221,41.42,-67.54,41,42.11,67.04,68.4,230,6,,,,
OFFSHORE REGULAR,1210,GEO NORTHRN EDGE,424,42.07,-66.59,41.39,42.11,66.03,68.27,113,4,,,,
OFFSHORE REGULAR,1220,GEO NORTHRN EDGE,454,42.08,-67.38,41.4,42.13,65.58,68.28,121,4,,,,
OFFSHORE REGULAR,1230,GEO GT S CHANNEL,1016,41.1,-68.5,41,42.03,68.21,69.55,269,5,,,,
OFFSHORE REGULAR,1240,GME E OF CAPECOD,2569,41.46,-68.5,41.11,42.27,68.16,69.51,691,6,,,,
OFFSHORE REGULAR,1250,SNE OFF CHATHAM,390,41.27,-69.31,41,42.01,69.1,70,104,4,,,,
OFFSHORE REGULAR,1260,GME OFF BOSTON,1014,42.3,-70.15,41,43.13,69.52,70.4,213,5,,,,
OFFSHORE REGULAR,1270,GME OFF CAPE ANN,720,43.09,-70.1,42.02,43.25,69.44,70.3,197,4,,,,
OFFSHORE REGULAR,1280,GME WILKINSON,2249,42.24,-69.24,41.48,43.05,68.28,69.58,611,7,,,,
OFFSHORE REGULAR,1290,GME N OF GEORGES,3245,42.3,-67.38,41.46,42.45,65.38,68.33,881,8,,,,
OFFSHORE REGULAR,1300,GME N OF GEORGES,619,42.27,-67.01,42.16,42.38,66.29,67.34,167,3,,,,
OFFSHORE REGULAR,1310,SCO OFF BROWNS B,1875,42.52,-65.36,42.08,43.08,65.1,67.04,533,7,,,,
OFFSHORE REGULAR,1320,SCO BROWNS BANK,655,42.39,-65.56,42.22,42.52,65.16,66.27,180,5,,,,
