"target","interaction_type","source"
"Amblyraja radiata","eats","Tautogolabrus adspersus"
"Amblyraja radiata","eats","Amphipoda"
"Amblyraja radiata","eats","Majidae"
"Amblyraja radiata","eats","Isopoda"
"Amblyraja radiata","eats","Sepiolidae"
"Amblyraja radiata","eats","Hippoglossoides platessoides"
"Amblyraja radiata","eats","Clupea harengus"
"Amblyraja radiata","eats","Gadus morhua"
"Amblyraja radiata","eats","Artediellus"
"Amblyraja radiata","eats","Chionoecetes opilio"
"Amblyraja radiata","eats","Reinhardtius hippoglossoides"
"Amblyraja radiata","eats","Brosme brosme"
"Amblyraja radiata","eats","Triglops murrayi"
"Amblyraja radiata","eats","Pandalus borealis"
"Amblyraja radiata","eats","Hippoglossus hippoglossus"
"Amblyraja radiata","eats","Macrouridae"
"Amblyraja radiata","eats","Pollachius virens"
"Amblyraja radiata","eats","Carcinus maenas"
"Amblyraja radiata","eats","Melanogrammus aeglefinus"
"Amblyraja radiata","eats","Glyptocephalus cynoglossus"
"Amblyraja radiata","eats","Anarhichas lupus"
"Amblyraja radiata","eats","Amblyraja radiata"
"Amblyraja radiata","eats","Cyclopterus lumpus"
"Anarhichas lupus","eats","Clupea harengus"
"Anarhichas lupus","eats","Amphipoda"
"Anarhichas lupus","eats","Majidae"
"Anarhichas lupus","eats","Pandalus borealis"
"Anarhichas lupus","eats","Littorina"
"Anarhichas lupus","eats","Gadus morhua"
"Anarhichas lupus","eats","Reinhardtius hippoglossoides"
"Anarhichas lupus","eats","Artediellus"
"Anarhichas lupus","eats","Octopoda"
"Anarhichas lupus","eats","Cancer irroratus"
"Anarhichas lupus","eats","Cyclopterus lumpus"
"Artediellus","eats","Amphipoda"
"Aspidophoroides monopterygius","eats","Amphipoda"
"Aspidophoroides monopterygius","eats","Isopoda"
"Brosme brosme","eats","Artediellus"
"Brosme brosme","eats","Hippoglossoides platessoides"
"Brosme brosme","eats","Clupea harengus"
"Brosme brosme","eats","Gadus morhua"
"Brosme brosme","eats","Isopoda"
"Brosme brosme","eats","Amphipoda"
"Brosme brosme","eats","Pandalus borealis"
"Chionoecetes opilio","eats","Pandalus borealis"
"Chionoecetes opilio","eats","Chionoecetes opilio"
"Chionoecetes opilio","eats","Amphipoda"
"Chlorophthalmus agassizi","eats","Nematoda"
"Chlorophthalmus agassizi","eats","Amphipoda"
"Citharichthys arctifrons","eats","Amphipoda"
"Citharichthys arctifrons","eats","Cancer irroratus"
"Clupea harengus","eats","Amphipoda"
"Clupea harengus","eats","Isopoda"
"Clupea harengus","eats","Gadus morhua"
"Clupea harengus","eats","Clupea harengus"
"Clupea harengus","eats","Gasterosteus aculeatus"
