"specie","origin"
"Amblyraja radiata","subidal"
"Anarhichas lupus","subidal"
"Artediellus","subidal"
"Aspidophoroides monopterygius","subidal"
"Bathypolypus arcticus","subidal"
"Brosme brosme","subidal"
"Chionoecetes opilio","subidal"
"Chlorophthalmus agassizi","subidal"
"Citharichthys arctifrons","subidal"
"Clupea harengus","subidal"
"Crangon septemspinosa","subidal"
"Crustacea shrimp","subidal"
"Cryptacanthodes maculatus","subidal"
"Cyclopterus lumpus","subidal"
"Dichelopandalus leptocerus","subidal"
"Dipturus laevis","subidal"
"Enchelyopus cimbrius","subidal"
"Gadus morhua","subidal"
"Gasterosteus aculeatus","subidal"
"Geryon quinquedens","subidal"
"Glyptocephalus cynoglossus","subidal"
"Helicolenus dactylopterus","subidal"
"Hemitripterus americanus","subidal"
"Hippoglossoides platessoides","subidal"
"Hippoglossus hippoglossus","subidal"
"Homarus americanus","subidal"
"Illex illecebrosus","subidal"
"Lebbeus polaris","subidal"
"Leucoraja erinacea","subidal"
"Leucoraja ocellata","subidal"
"Limanda ferruginea","subidal"
"Lithodes maja","subidal"
"Loligo pealeii","subidal"
"Lophius americanus","subidal"
"Lumpenus lumpretaeformis","subidal"
"Lumpenus maculatus","subidal"
"Lycenchelys verrillii","subidal"
"Macrouridae","subidal"
"Macrozoarces americanus","subidal"
"Majidae","subidal"
"Malacoraja senta","subidal"
"Maurolicus weitzmani","subidal"
"Melanogrammus aeglefinus","subidal"
"Melanostigma atlanticum","subidal"
"Merluccius bilinearis","subidal"
"Myctophidae","subidal"
"Myoxocephalus octodecemspinosus","subidal"
"Myxine glutinosa","subidal"
"Octopoda","subidal"
"Pandalus borealis","subidal"
"Pandalus montagui","subidal"
"Pandalus propinquus","subidal"
"Paralepidae","subidal"
"Paralichthys oblongus","subidal"
"Pasiphaea multidentata","subidal"
"Peprilus triacanthus","subidal"
"Petromyzon marinus","subidal"
"Placopecten magellanicus","subidal"
"Pollachius virens","subidal"
"Pontophilus norvegicus","subidal"
"Prionotus carolinus","subidal"
"Pseudopleuronectes americanus","subidal"
"Reinhardtius hippoglossoides","subidal"
"Scomber scombrus","subidal"
"Scomberesox saurus","subidal"
"Scophthalmus aquosus","subidal"
"Sebastes fasciatus","subidal"
"Sepiolidae","subidal"
"Spirontocaris liljeborgii","subidal"
"Squalus acanthias","subidal"
"Stenotomus chrysops","subidal"
"Stoloteuthis leucoptera","subidal"
"Tautogolabrus adspersus","subidal"
"Triglops murrayi","subidal"
"Alosa aestivalis","subidal"
"Alosa mediocris","subidal"
"Alosa pseudoharengus","subidal"
"Alosa sapidissima","subidal"
"Ammodytes americanus","subidal"
"Ammodytes dubius","subidal"
"Argentina silus","subidal"
"Argentina striata","subidal"
"Cancer borealis","subidal"
"Cancer irroratus","subidal"
"Urophycis chesteri","subidal"
"Urophycis chuss","subidal"
"Urophycis regia","subidal"
"Urophycis tenuis","subidal"
"Chanceon quinquedens","subidal"
"Alaria esculenta","intertidal"
"Arthopyrenia","intertidal"
"Ascophyllum nodosum","intertidal"
"Ceramium virgatum","intertidal"
"Chondrus crispus","intertidal"
"Corallina officinalis","intertidal"
"Coralline","intertidal"
"Cryptosula pallasiana","intertidal"
"Cyanobacteria","intertidal"
"Elachista fucicola","intertidal"
"Fucus","intertidal"
"Hildenbrandia rubra","intertidal"
"Leathesia marina","intertidal"
"Mastocarpus stellatus","intertidal"
"Modiolus modiolus","intertidal"
"Mytilus edulis","intertidal"
"Phymatolithon lenormandii","intertidal"
"Polysiphonia","intertidal"
"Prasiola stipitata","intertidal"
"Rhizoclonium tortuosum","intertidal"
"Semibalanus balanoides","intertidal"
"Ulva lactuca","intertidal"
"Verrucaria","intertidal"
"Amphipoda","intertidal"
"Carcinus maenas","intertidal"
"Isopoda","intertidal"
"Metridium senile","intertidal"
"Nematoda","intertidal"
"Nucella lapillus","intertidal"
"Littorina","intertidal"
