Taxa;Numerical ID
amblyraja_radiata;1
anarhichas_lupus;2
artediellus_sp;3
aspidophoroides_monopterygius;4
bathypolypus_arcticus;5
brosme_brosme;6
chionoecetes_opilio;7
chlorophthalmus_agassizi;8
citharichthys_arctifrons;9
clupea_harengus;10
crangon_septemspinosa;11
crustacea_shrimp;12
cryptacanthodes_maculatus;13
cyclopterus_lumpus;14
dichelopandalus_leptocerus;15
dipturus_laevis;16
enchelyopus_cimbrius;17
gadus_morhua;18
gasterosteus_aculeatus;19
geryon_quinquedens;20
glyptocephalus_cynoglossus;21
helicolenus_dactylopterus;22
hemitripterus_americanus;23
hippoglossoides_platessoides;24
hippoglossus_hippoglossus;25
homarus_americanus;26
illex_illecebrosus;27
lebbeus_polaris;28
leucoraja_erinacea;29
leucoraja_ocellata;30
limanda_ferruginea;31
lithodes_maja;32
loligo_pealeii;33
lophius_americanus;34
lumpenus_lumpretaeformis;35
lumpenus_maculatus;36
lycenchelys_verrilli;37
macrouridae;38
macrozoarces_americanus;39
majidae;40
malacoraja_senta;41
maurolicus_weitzmani;42
melanogrammus_aeglefinus;43
melanostigma_atlanticum;44
merluccius_bilinearis;45
myctophidae;46
myoxocephalus_octodecemspinosus;47
myxine_glutinosa;48
octopoda;49
pandalus_borealis;50
pandalus_montagui;51
pandalus_propinquus;52
paralepidae;53
paralichthys_oblongus;54
pasiphaea_multidentata;55
peprilus_triacanthus;56
petromyzon_marinus;57
placopecten_magellanicus;58
pollachius_virens;59
pontophilus_norvegicus;60
prionotus_carolinus;61
pseudopleuronectes_americanus;62
reinhardtius_hippoglossoides;63
scomber_scombrus;64
scomberesox_saurus;65
scophthalmus_aquosus;66
sebastes_fasciatus;67
sepiolidae;68
spirontocaris_liljeborgii;69
squalus_acanthias;70
stenotomus_chrysops;71
stoloteuthis_leucoptera;72
tautogolabrus_adspersus;73
triglops_murrayi;74
sum_alosa;75
sum_ammodytes;76
sum_argentina;77
sum_cancer;78
sum_urophycis;79
