"","var","regime_shift","upper","lower","upper_zi","lower_zi"
"1","Sessile MDS1 global",1,-0.00223014085498888,-0.0174086217765051,NA,NA
"2","Sessile MDS1 global",2,0.0219315374892089,6.53314266311087e-05,NA,NA
"3","Sessile MDS1 global",3,0.0203635681136334,-0.00285590516650833,NA,NA
"4","Sessile MDS2 global",1,0.00567122184022937,-0.00228858510180165,NA,NA
"5","Sessile MDS2 global",2,0.00642701774514796,-0.00183153175003328,NA,NA
"6","Sessile MDS2 global",3,0.00334247359004186,-0.0065858688374317,NA,NA
"7","Sessile MDS3 global",1,0.00287403581796002,-0.00789762378204566,NA,NA
"8","Sessile MDS3 global",2,0.00359183235728854,-0.00795616076541798,NA,NA
"9","Sessile MDS3 global",3,0.00383012091834687,-0.0050335811087751,NA,NA
"10","Mobile MDS1 global",1,-0.0147358548453166,-0.0605591569133351,NA,NA
"11","Mobile MDS1 global",2,0.0590956963573136,0.0128008286109752,NA,NA
"12","Mobile MDS1 global",3,0.0579927118938506,0.0113930613481132,NA,NA
"13","Mobile MDS3 global",1,0.00912114511119785,0.000477113051109425,NA,NA
"14","Mobile MDS3 global",2,0.00313834153465707,-0.0029511015927381,NA,NA
"15","Mobile MDS3 global",3,0.00151469538495836,-0.00584415311680094,NA,NA
"16","Mobile MDS2 global",1,0.00916595391673018,-0.000927658403838765,NA,NA
"17","Mobile MDS2 global",2,0.00110629900409733,-0.00741526064524351,NA,NA
"18","Mobile MDS2 global",3,0.0078893833521329,-0.00192565340136239,NA,NA
"19","Mobile MDS1 BC",1,0.00942171196834813,-0.0206460728178116,NA,NA
"20","Mobile MDS1 BC",2,0.00964895806799385,-0.0260909175672098,NA,NA
"21","Mobile MDS1 BC",3,0.00661100144224339,-0.0253504139145803,NA,NA
"22","Mobile MDS1 NE",1,0.00274204194675962,-0.0431625690553845,NA,NA
"23","Mobile MDS1 NE",2,0.0444465922208652,-0.00466380834117277,NA,NA
"24","Mobile MDS1 NE",3,0.0342933661120015,-0.00491172543147278,NA,NA
"25","Mobile MDS1 NW",1,0.0326732653979777,-0.0102551338686916,NA,NA
"26","Mobile MDS1 NW",2,0.00787143415881022,-0.0406229909388883,NA,NA
"27","Mobile MDS1 NW",3,0.0612236483624177,-0.00809565515583669,NA,NA
"28","Mobile MDS1 SE",1,-0.0197021377521493,-0.0819128202510264,NA,NA
"29","Mobile MDS1 SE",2,0.0452409131161688,-0.00568583518585211,NA,NA
"30","Mobile MDS1 SE",3,0.0461504485580313,-0.0124089221043046,NA,NA
"31","Mobile MDS1 SW",1,0.0278347125126696,-0.00417516720309052,NA,NA
"32","Mobile MDS1 SW",2,0.0311890095378531,-0.00515302233006272,NA,NA
"33","Mobile MDS1 SW",3,0.0208650582213027,-0.00837078149739109,NA,NA
"34","Mobile MDS2 BC",1,0.0319885400603361,-0.00337836491134365,NA,NA
"35","Mobile MDS2 BC",2,0.0214667924296681,-0.00845126760187722,NA,NA
"36","Mobile MDS2 BC",3,0.0105594277240105,-0.0113662486239481,NA,NA
"37","Mobile MDS2 NE",1,0.0213828745331469,-0.00183851656230197,NA,NA
"38","Mobile MDS2 NE",2,0.02098101664376,-0.0063972640495625,NA,NA
"39","Mobile MDS2 NE",3,0.0217152182860073,-0.00460479753400354,NA,NA
"40","Mobile MDS2 NW",1,0.00765076780821511,-0.0156825450695485,NA,NA
"41","Mobile MDS2 NW",2,0.0161224479251093,-0.00622070443274124,NA,NA
"42","Mobile MDS2 NW",3,0.00713514331933936,-0.0170000638254598,NA,NA
"43","Mobile MDS2 SE",1,0.0241740655599789,-0.00407042594522861,NA,NA
"44","Mobile MDS2 SE",2,0.00671908296175195,-0.0133922273920636,NA,NA
"45","Mobile MDS2 SE",3,0.0121875142836545,-0.00815265047814125,NA,NA
"46","Mobile MDS2 SW",1,0.00256340960256829,-0.0292214936654872,NA,NA
"47","Mobile MDS2 SW",2,0.00165798755222293,-0.0436924688048424,NA,NA
"48","Mobile MDS2 SW",3,0.0321041429550239,-0.0040138466909943,NA,NA
"49","Mobile MDS3 BC",1,0.00259277920995213,-0.028239534848982,NA,NA
"50","Mobile MDS3 BC",2,0.00920665118687097,-0.0159244890579299,NA,NA
"51","Mobile MDS3 BC",3,0.0184376984336886,-0.0083996480028621,NA,NA
"52","Mobile MDS3 NE",1,0.013755576826858,-0.00765523380813981,NA,NA
"53","Mobile MDS3 NE",2,0.00649990027295021,-0.0148824814871042,NA,NA
"54","Mobile MDS3 NE",3,0.0111821082471579,-0.00644508918843264,NA,NA
"55","Mobile MDS3 NW",1,0.00686782429170931,-0.0204947185367206,NA,NA
"56","Mobile MDS3 NW",2,0.0235629169239537,-0.0148832819804766,NA,NA
"57","Mobile MDS3 NW",3,0.0565915284175133,-0.00780043578994493,NA,NA
"58","Mobile MDS3 SE",1,0.0130392708236879,-0.00629802854641339,NA,NA
"59","Mobile MDS3 SE",2,0.00533296495381251,-0.0130670670368659,NA,NA
"60","Mobile MDS3 SE",3,0.00874556806175012,-0.0134390564050724,NA,NA
"61","Mobile MDS3 SW",1,0.00313832798267565,-0.0240542818978123,NA,NA
"62","Mobile MDS3 SW",2,0.0206491862742241,-0.00711707645033413,NA,NA
"63","Mobile MDS3 SW",3,0.0179188014698031,-0.0125599814194391,NA,NA
"64","Sessile MDS1 BC",1,0.0306797257162106,-0.00198354280668463,NA,NA
"65","Sessile MDS1 BC",2,0.0306378811675234,-0.0064264681011145,NA,NA
"66","Sessile MDS1 BC",3,0.0227771730750241,-0.00657576809299781,NA,NA
"67","Sessile MDS1 NE",1,0.0203191309071185,-0.00280197248325831,NA,NA
"68","Sessile MDS1 NE",2,0.0108812946745788,-0.0146340243900268,NA,NA
